economy,time,Country,Time,DT.DOD.DECT.GN.ZS,FP.CPI.TOTL.ZG,GC.DOD.TOTL.GD.ZS,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.KD,SI.POV.GINI,SL.UEM.TOTL.ZS
PRI,YR2023,Puerto Rico (US),2023,,,,0.731492105366186,30012.9242468103,,5.725
PRI,YR2022,Puerto Rico (US),2022,,,,2.95709565499587,29643.7408907829,,6.0
PRI,YR2021,Puerto Rico (US),2021,,,,0.385222719529239,28416.6231262223,,7.9
PRI,YR2020,Puerto Rico (US),2020,,,,-4.1808743093346,28144.7223184239,,8.89
PRI,YR2019,Puerto Rico (US),2019,,,,1.67546379498209,29185.0969964707,,8.3
PRI,YR2018,Puerto Rico (US),2018,,,,-4.36142703162535,28808.8518638025,,9.2
PRI,YR2017,Puerto Rico (US),2017,,,,-2.88521838398481,29061.5563802711,,10.8
PRI,YR2016,Puerto Rico (US),2016,,,,-1.26369434781117,29326.5748761873,,11.8
PRI,YR2015,Puerto Rico (US),2015,,,,-1.04929003238674,29242.041465085,,12.0
PRI,YR2014,Puerto Rico (US),2014,,,,-1.19036347346942,29141.2038639816,,13.9
PRI,YR2013,Puerto Rico (US),2013,,,,-0.306826666941774,29115.3549161996,,14.3
PRI,YR2012,Puerto Rico (US),2012,,,,0.0292751500944064,28968.6942131352,,14.5
PRI,YR2011,Puerto Rico (US),2011,,,,-0.358510636850312,28706.0207514856,,15.7
PRI,YR2010,Puerto Rico (US),2010,,,,-0.413254119172365,28569.5077088001,,16.1
PRI,YR2009,Puerto Rico (US),2009,,,,-1.95242518381124,28565.767919549,,15.0
PRI,YR2008,Puerto Rico (US),2008,,,,-1.84413421831884,28976.1310520159,,11.48
PRI,YR2007,Puerto Rico (US),2007,,,,-1.16280665573993,29347.8460041613,,10.93
PRI,YR2006,Puerto Rico (US),2006,,,,-1.40941405684823,29519.7386759729,,11.01
PRI,YR2005,Puerto Rico (US),2005,,,,-1.98693871772703,29815.216422231,,11.35
PRI,YR2004,Puerto Rico (US),2004,,,,8.7486769008168,30375.7895758237,,10.31
PRI,YR2003,Puerto Rico (US),2003,,,,0.0534198017173964,27937.8165922567,,11.78
PRI,YR2002,Puerto Rico (US),2002,,,,0.916459423425337,27940.3826219734,,11.94
PRI,YR2001,Puerto Rico (US),2001,,,,6.31347157694064,27722.3671872748,,11.4
PRI,YR2000,Puerto Rico (US),2000,,,,3.27196451910478,26131.9630643584,,10.08
PRI,YR1999,Puerto Rico (US),1999,,,,5.38969990123002,25374.101701053,,11.81
PRI,YR1998,Puerto Rico (US),1998,,,,5.53072563643605,24197.3097487888,,13.46
PRI,YR1997,Puerto Rico (US),1997,,,,4.88008720859467,23061.3344942222,,13.8
